code,numeric_code,our_name,yahoo_name,similarity,category,normalized_ours,normalized_yahoo
MMAG,0034,"MMedia Berhad","MMAG",30,MISMATCH,"MMEDIA BHD","MMAG"
MNC,0103,"MN Holdings Corporation Berhad","MNC",27,MISMATCH,"MN CORP BHD","MNC"
MNHLDG,0245,"MN Holdings Berhad","MNHLDG",33,MISMATCH,"MN BHD","MNHLDG"
MNRB,6459,"MNRB Holdings Berhad","MNRB",50,MISMATCH,"MNRB BHD","MNRB"
MOBILIA,0333,"Mobilia Holdings Berhad","VANZO",9,MISMATCH,"MOBILIA BHD","VANZO"
MPAY,0156,"Mobipay Berhad","MPAY",36,MISMATCH,"MOBIPAY BHD","MPAY"
MPI,3867,"Malaysian Pacific Industries Berhad","MPI",9,MISMATCH,"MALAYSIAN PACIFIC INDUSTRIES BHD","MPI"
MQTECH,0070,"MQ Technology Berhad","MQTECH",35,MISMATCH,"MQ TECHNOLOGY BHD","MQTECH"
MRCB,1651,"Malaysian Resources Corporation Berhad","MRCB",14,MISMATCH,"MALAYSIAN RESOURCES CORP BHD","MRCB"
MRDIY,5296,"Mr D.I.Y. Group (M) Berhad","MRDIY",42,MISMATCH,"MR D I Y BHD","MRDIY"
MSC,5916,"Malaysia Smelting Corporation Berhad","MSC",12,MISMATCH,"MALAYSIA SMELTING CORP BHD","MSC"
MSM,5202,"MSM Malaysia Holdings Berhad","MSM",19,MISMATCH,"MSM MALAYSIA BHD","MSM"
MTAG,0213,"MTAG Group Berhad","MTAG",50,MISMATCH,"MTAG BHD","MTAG"
MTEC,0295,"Master Tec Group Berhad","MTEC",29,MISMATCH,"MASTER TEC BHD","MTEC"
MTOUCHE,0092,"M-Touche Technology Berhad","MTOUCHE",30,MISMATCH,"M TOUCHE TECHNOLOGY BHD","MTOUCHE"
MTRONIC,0043,"Metronic Global","MTRONIC",47,MISMATCH,"METRONIC GLOBAL","MTRONIC"
MUHIBAH,5703,"Muhibbah Engineering (M) Bhd","MUHIBAH",29,MISMATCH,"MUHIBBAH ENGINEERING BHD","MUHIBAH"
MULPHA,3905,"Mulpha International Bhd","MULPHA",40,MISMATCH,"MULPHA INTL BHD","MULPHA"
MYAXIS,03064,"MyAxis Group","MYAXIS",100,MATCH,"MYAXIS","MYAXIS"
MYNEWS,5275,"Mynews Holdings","MYNEWS",100,MATCH,"MYNEWS","MYNEWS"
MYSPEED,0335,"MySpeedNet Berhad","CARLORINO",7,MISMATCH,"MYSPEEDNET BHD","CARLORINO"
N2N,0108,"N2N Connect Berhad","N2N",20,MISMATCH,"N2N CONNECT BHD","N2N"
NADIBHD,0206,"Gagasan Nadi Cergas Berhad","NADIBHD",30,MISMATCH,"GAGASAN NADI CERGAS BHD","NADIBHD"
NAIM,5073,"Naim Holdings Berhad","NAIM",50,MISMATCH,"NAIM BHD","NAIM"
NATGATE,0270,"NationGate Holdings Berhad","NATGATE",50,MISMATCH,"NATIONGATE BHD","NATGATE"
NAZA,0332,"Naza Moto Berhad","TOPVISN",8,MISMATCH,"NAZA MOTO BHD","TOPVISN"
NCT,0056,"NCT Alliance Berhad","NCT",19,MISMATCH,"NCT ALLIANCE BHD","NCT"
NE,0272,"Northeast Group Berhad","TTVHB",23,MISMATCH,"NORTHEAST BHD","TTVHB"
NESTLE,4707,"Nestle (Malaysia) Berhad","NESTLE",60,MISMATCH,"NESTLE BHD","NESTLE"
NETX,0020,"NetX Holdings Berhad","NETX",50,MISMATCH,"NETX BHD","NETX"
NEXG,0205,"NEXG Berhad","DPIH",13,MISMATCH,"NEXG BHD","DPIH"
NEXGRAM,0096,"Nexgram Holdings","NEXGRAM",100,MATCH,"NEXGRAM","NEXGRAM"
NGGB,0235,"Nextgreen Global Berhad","NESTCON",20,MISMATCH,"NEXTGREEN GLOBAL BHD","NESTCON"
NHFATT,5085,"New Hoong Fatt Holdings Berhad","MUDAJYA",6,MISMATCH,"NEW HOONG FATT BHD","MUDAJYA"
NIHSIN,7215,"Nihsin Resources Berhad","NIHSIN",30,MISMATCH,"NIHSIN RESOURCES BHD","NIHSIN"
NOTION,0083,"Notion VTec Berhad","NOTION",40,MISMATCH,"NOTION VTEC BHD","NOTION"
NOVAMSC,0026,"Nova MSC","NOVAMSC",88,MATCH,"NOVA MSC","NOVAMSC"
NOVATECH,0017,"Novatech Solutions Berhad","NOVATECH",36,MISMATCH,"NOVATECH SOLUTIONS BHD","NOVATECH"
NSOP,2038,"Negri Sembilan Oil Palms Berhad","NSOP",14,MISMATCH,"NEGRI SEMBILAN OIL PALMS BHD","NSOP"
NTECH,0356,"NTech Solutions Berhad","PEOPLE",11,MISMATCH,"NTECH SOLUTIONS BHD","PEOPLE"
NTPM,5066,"NTPM Holdings","NTPM",100,MATCH,"NTPM","NTPM"
OCEAN,0336,"Ocean Holdings Berhad","WINSTAR",11,MISMATCH,"OCEAN BHD","WINSTAR"
OCK,0172,"OCK Group Berhad","OCK",43,MISMATCH,"OCK BHD","OCK"
OFI,7107,"Oriental Food Industries Holdings Berhad","OFI",11,MISMATCH,"ORIENTAL FOOD INDUSTRIES BHD","OFI"
OIB,5827,"Oriental Interest Berhad","OIB",14,MISMATCH,"ORIENTAL INTEREST BHD","OIB"
OMH,5298,"OM Holdings Limited","OMH",20,MISMATCH,"OM LIMITED","OMH"
OPENSYS,0040,"Opensys (M) Berhad","OPENSYS",64,MISMATCH,"OPENSYS BHD","OPENSYS"
OPERON,0321,"Operon Holdings Berhad","SDCG",0,MISMATCH,"OPERON BHD","SDCG"
OPPSTAR,0275,"Oppstar Berhad","OPPSTAR",64,MISMATCH,"OPPSTAR BHD","OPPSTAR"
OPTIMAX,0222,"Optimax Holdings Berhad","OPTIMAX",64,MISMATCH,"OPTIMAX BHD","OPTIMAX"
ORIENT,4006,"Oriental Holdings Berhad","ORIENT",50,MISMATCH,"ORIENTAL BHD","ORIENT"
ORKIM,5348,"Orkim Berhad","ORKIM",56,MISMATCH,"ORKIM BHD","ORKIM"
OSK,5053,"OSK Holdings Berhad","OSK",43,MISMATCH,"OSK BHD","OSK"
OSKVI,0053,"OSK Ventures International Berhad","OSKVI",24,MISMATCH,"OSK VENTURES INTL BHD","OSKVI"
OVERSEA,0153,"Overseas Holdings Berhad","OVERSEA",58,MISMATCH,"OVERSEAS BHD","OVERSEA"
PADINI,7052,"Padini Holdings Berhad","PADINI",60,MISMATCH,"PADINI BHD","PADINI"
PANAMY,3719,"Panasonic Manufacturing Malaysia Berhad","PANAMY",17,MISMATCH,"PANASONIC MANUFACTURING MALAYSIA BHD","PANAMY"
PANSAR,8419,"Pansar Berhad","PANSAR",60,MISMATCH,"PANSAR BHD","PANSAR"
PANTECH,5125,"Pantech Group Holdings Berhad","PANTECH",64,MISMATCH,"PANTECH BHD","PANTECH"
PARADIGM,5338,"Paradigm Real Estate Investment Trust","PARADIGM",22,MISMATCH,"PARADIGM REAL ESTATE INVESTMENT TRUST","PARADIGM"
PARAGON,9407,"Paragon Union Berhad","PARAGON",41,MISMATCH,"PARAGON UNION BHD","PARAGON"
PARAMON,1724,"Paramount Corporation Berhad","PARAMON",39,MISMATCH,"PARAMOUNT CORP BHD","PARAMON"
PARLO,0022,"Parlo Berhad","PARLO",56,MISMATCH,"PARLO BHD","PARLO"
PASUKGB,0177,"Pasukhas Group Berhad","PASUKGB",50,MISMATCH,"PASUKHAS BHD","PASUKGB"
PAVREIT,5212,"Pavilion Real Estate Investment Trust","PAVREIT",19,MISMATCH,"PAVILION REAL ESTATE INVESTMENT TRUST","PAVREIT"
PBA,5041,"PBA Holdings Bhd","PBA",43,MISMATCH,"PBA BHD","PBA"
PBBANK,1295,"Public Bank Berhad","PBBANK",40,MISMATCH,"PUBLIC BANK BHD","PBBANK"
